,url,id,Cid,tradeTime,Lng,Lat,DOM,followers,totalPrice,price,square,livingRoom,drawingRoom,kitchen,bathRoom,buildingType,constructionTime,renovationCondition,buildingStructure,ladderRatio,elevator,fiveYearsProperty,subway,price_log,price_quad,Lng_diff,Lat_diff,Lng_quad,Lat_quad,Lng_diff_quad,Lat_diff_quad,buildingType1,buildingType2,buildingType3,buildingType4,renovationCondition1,renovationCondition2,renovationCondition3,renovationCondition4,buildingStructure1,buildingStructure2,buildingStructure3,buildingStructure4,buildingStructure5,buildingStructure6,constructionTime_diff
0,https://bj.lianjia.com/chengjiao/101084782030.html,101000000000.0,1110000000000.0,2016-08-09,116.475489,40.01952,1464,106,415.0,31680,131.0,2,1,1,1,1.0,2005.0,3,6,0.217,1,0,1,10.363440845928363,1003622400,0.06888899999999865,0.13732000000000255,13566.53953778912,1601.5619810304,0.0047456943209998135,0.0188567824000007,1,0,0,0,0,0,1,0,0,0,0,0,0,1,11.0
1,https://bj.lianjia.com/chengjiao/101086012217.html,101000000000.0,1110000000000.0,2016-07-28,116.45391699999999,39.881534,903,126,575.0,43436,132.38,2,2,1,2,1.0,2004.0,4,6,0.667,1,1,0,10.679043869336791,1886686096,0.047316999999992504,0.0006659999999953925,13561.514784642886,1590.5367541931562,0.0022388984889992907,4.435559999938628e-07,1,0,0,0,0,0,0,1,0,0,0,0,0,1,12.0
2,https://bj.lianjia.com/chengjiao/101086041636.html,101000000000.0,1110000000000.0,2016-12-11,116.561978,39.877145,1271,48,1030.0,52021,198.0,3,2,1,3,4.0,2005.0,3,6,0.5,1,0,0,10.8594027621935,2706184441,0.1553779999999989,0.005054999999998699,13586.694715272482,1590.1866933510248,0.02414232288399966,2.555302499998685e-05,0,0,0,1,0,0,1,0,0,0,0,0,0,1,11.0
3,https://bj.lianjia.com/chengjiao/101086406841.html,101000000000.0,1110000000000.0,2016-09-30,116.43801,40.076114000000004,965,138,297.5,22202,134.0,3,1,1,1,1.0,2008.0,1,6,0.273,1,0,0,10.007937653892592,492928804,0.031410000000008154,0.19391400000000658,13557.8101727601,1606.0949133409963,0.0009865881000005123,0.03760263939600255,1,0,0,0,1,0,0,0,0,0,0,0,0,1,8.0
4,https://bj.lianjia.com/chengjiao/101086920653.html,101000000000.0,1110000000000.0,2016-08-28,116.42839199999999,39.886229,927,286,392.0,48396,81.0,2,1,1,1,4.0,1960.0,2,2,0.33299999999999996,0,1,1,10.787172444661369,2342172816,0.021791999999990708,0.004029000000002725,13555.57046370566,1590.911263840441,0.000474891263999595,1.6232841000021955e-05,0,0,0,1,0,1,0,0,0,1,0,0,0,0,56.0
5,https://bj.lianjia.com/chengjiao/101087277815.html,101000000000.0,1110000000000.0,2016-07-22,116.46628,39.991363,861,57,275.6,52000,53.0,1,0,1,1,4.0,2005.0,3,6,0.33299999999999996,1,1,0,10.858998997563564,2704000000,0.05968000000000018,0.10916300000000234,13564.3943770384,1599.309114597769,0.0035617024000000213,0.011916560569000511,0,0,0,1,0,0,1,0,0,0,0,0,0,1,11.0
6,https://bj.lianjia.com/chengjiao/101087292623.html,101000000000.0,1110000000000.0,2016-07-14,116.48258600000001,39.891991,851,167,275.0,37672,73.0,2,1,1,1,4.0,1997.0,4,2,0.5,0,0,0,10.536672391923391,1419179584,0.07598600000001454,0.009790999999999883,13568.192841247399,1591.3709459440809,0.00577387219600221,9.586368099999771e-05,0,0,0,1,0,0,0,1,0,1,0,0,0,0,19.0
7,https://bj.lianjia.com/chengjiao/101087303800.html,101000000000.0,1110000000000.0,2016-09-07,116.45391699999999,39.881534,904,138,800.0,49521,161.55,3,2,1,2,1.0,2004.0,4,6,0.667,1,1,0,10.810152101015651,2452329441,0.047316999999992504,0.0006659999999953925,13561.514784642886,1590.5367541931562,0.0022388984889992907,4.435559999938628e-07,1,0,0,0,0,0,0,1,0,0,0,0,0,1,12.0
8,https://bj.lianjia.com/chengjiao/101087463212.html,101000000000.0,1110000000000.0,2016-09-04,116.555729,40.162058,873,218,134.0,27917,48.0,1,0,1,1,3.0,2009.0,1,2,0.33299999999999996,0,0,0,10.236991101246426,779358889,0.14912900000000207,0.2798580000000044,13585.237962721441,1612.990902795364,0.022239458641000617,0.07832050016400245,0,0,1,0,1,0,0,0,0,1,0,0,0,0,7.0
9,https://bj.lianjia.com/chengjiao/101087508625.html,101000000000.0,1110000000000.0,2016-09-05,116.45308600000001,39.898396999999996,865,134,380.0,55883,68.0,1,0,0,0,1.0,2009.0,4,6,0.308,1,1,1,10.931015498400841,3122909689,0.04648600000001579,0.01619699999999824,13561.3212389234,1591.8820831696087,0.0021609481960014683,0.000262342808999943,1,0,0,0,0,0,0,1,0,0,0,0,0,1,7.0
